index	table_id	annotator_id	premise	hypothesis	label 
1502	T223	GW1	The Associated acts of Jhene Aiko are Ab-Soul , B2K , Big Sean , Childish Gambino , Cocaine 80s , Dot da Genius , Drake , Kendrick Lamar , Mila J , Omarion , and Schoolboy Q. 	Jhen? Aiko prefers working with Drake over Kendrick Lamar.	1
1503	T223	GW1	Jhene Aiko was Born on ( 1988-03-16 )  March 16, 1988  (age 30)  Los Angeles, California, U.S.. 	Jhen? Aiko was born in the Fall of 1988.	2
1504	T223	GW0	The Occupation(s) of Jhene Aiko are Singer , and  songwriter. 	Jhen? Aiko has been signed to over three different music labels.	0
1505	T223	GW0	The Occupation(s) of Jhene Aiko are Singer , and  songwriter. 	Jhen? Aiko writes all of her own music.	1
1506	T223	GW0	Jhene Aiko was Born on ( 1988-03-16 )  March 16, 1988  (age 30)  Los Angeles, California, U.S.. 	Jhen? Aiko was born in the capital of California.	2
1507	T223	GW7	The Occupation(s) of Jhene Aiko are Singer , and  songwriter. 	She is a singer.	0
1508	T223	GW7	Jhene Aiko was Born on ( 1988-03-16 )  March 16, 1988  (age 30)  Los Angeles, California, U.S.. 	She is working on an album now.	1
1509	T223	GW7	Jhene Aiko was Born on ( 1988-03-16 )  March 16, 1988  (age 30)  Los Angeles, California, U.S.. 	She was with Bad Boy Records.	2
1510	T223	GW4	Jhene Aiko was Born on ( 1988-03-16 )  March 16, 1988  (age 30)  Los Angeles, California, U.S.. 	Jhen? Aiko was born in the spring of 1988.	0
1511	T223	GW4	The Occupation(s) of Jhene Aiko are Singer , and  songwriter. 	Jhen? Aiko only knows how to sing and does not play instruments.	1
1512	T223	GW4	The Occupation(s) of Jhene Aiko are Singer , and  songwriter. 	The musician Jhen? Aiko has been associated with 50 cent.	2
1513	T1974	GW9	The Metro density of Ho Chi Minh City are 1,275/km 2  (3,300/sq mi). 	Ho Chi Minh City has a population density of over 10,000 per square mile.	0
1514	T1974	GW9	The Demonym(s) of Ho Chi Minh City are Saigonese. 	Ho Chi Minh City is the largest city in Vietnam.	1
1515	T1974	GW9	The Density of Ho Chi Minh City are 4,097/km 2  (10,610/sq mi). 	Ho Chi Minh City is home to fewer than 7 million people.	2
1516	T1974	GW4	The Density of Ho Chi Minh City are 4,097/km 2  (10,610/sq mi). 	Ho Chi Minh City has over 8 million people that live in it.	0
1517	T1974	GW4	The Demonym(s) of Ho Chi Minh City are Saigonese. 	Ho Chi Minh City is the largest city in the region.	1
1518	T1974	GW4	The Municipality of Ho Chi Minh City are 8,444,600. 	Ho Chi Minh City is located in Japan.	2
1519	T1974	GW0	The Density of Ho Chi Minh City are 4,097/km 2  (10,610/sq mi). 	Ho Chi Minh City has over eight million people.	0
1520	T1974	GW0	The Metro of Ho Chi Minh City are 13,542,900. 	Ho Chi Minh City's metro area spreads further than any other city in Vietnam.	1
1521	T1974	GW0	The Demonym(s) of Ho Chi Minh City are Saigonese. 	Ho Chi Minh City is not the most populated area in Vietnam.	2
1522	T316	GW0	The Dimensions of Christ Crucified are 249 cm 170 cm (98 in 67 in). 	Christ Crucified can be seen at a museum in Europe.	0
1523	T316	GW0	The Artist of Christ Crucified are Diego Velazquez. 	Diego Velazquez's first painting was Christ Crucified.	1
1524	T316	GW0	The Year of Christ Crucified are 1632. 	Christ Crucified was painted in the 14th century.	2
1525	T316	GW5	The Year of Christ Crucified are 1632. 	Christ Crucified was painted in the 17th century.	0
1526	T316	GW5	The Artist of Christ Crucified are Diego Velazquez. 	Diego Vel‡zquez's preferred medium was oil.	1
1527	T316	GW5	The Year of Christ Crucified are 1632. 	Christ Crucified was painted in the 18th century.	2
1528	T316	GW1	The Year of Christ Crucified are 1632. 	Christ Crucified was painted in the 17th century.	0
1529	T316	GW1	The Artist of Christ Crucified are Diego Velazquez. 	Diego Vel‡zquez considered Christ Crucified to be one of his best works.	1
1530	T316	GW1	The Dimensions of Christ Crucified are 249 cm 170 cm (98 in 67 in). 	The shorter side of Christ Crucified is shorter than 5 feet long.	2
1531	T227	GW1	Home Alone was Release date on November 16, 1990  ( 1990-11-16 ). 	Home Alone was released in the Late Fall of 1990.	0
1532	T227	GW1	The Distributed by of Home Alone are 20th Century Fox. 	Home Alone was never released in countries other than the US.	1
1533	T227	GW1	The Box office of Home Alone are $476.7 million. 	Home Alone did over half a billion dollars more at the box office than it's budget of 18 million.	2
1534	T227	GW7	The Language of Home Alone are English. 	Macaulay Caulkin was the star.	0
1535	T227	GW7	The Language of Home Alone are English. 	The actors were paid well.	1
1536	T227	GW7	Home Alone was Release date on November 16, 1990  ( 1990-11-16 ). 	This was an independent film.	2
1537	T227	GW0	The Produced by of Home Alone are John Hughes. 	Home Alone was produced and written by the same person.	0
1538	T227	GW0	The Budget of Home Alone are $18 million. 	Macaulay Culkin's salary was responsible for the majority of Home Alone's budget.	1
1539	T227	GW0	Home Alone was Release date on November 16, 1990  ( 1990-11-16 ). 	Home Alone was released in the summer of 1990.	2
1540	T227	GW4	The Box office of Home Alone are $476.7 million. 	Home Alone wound up making over $400 million dollars at the box office.	0
1541	T227	GW4	The Cinematography of Home Alone are Julio Macat. 	The movie Home Alone was mainly starring Maculay Culkin.	1
1542	T227	GW4	The Budget of Home Alone are $18 million. 	Home alone was released in the 1980s.	2
1543	T229	GW4	Eugen Baumann was Born on ( 1846-12-12 ) 12 December 1846  Cannstatt, Baden-Wurttemberg, Germany. 	Eugen Baumann was born in Germany.	0
1544	T229	GW4	The Known for of Eugen Baumann are Schotten-Baumann reaction. 	Eugen Baumann spent their whole life in Germany.	1
1545	T229	GW4	The Known for of Eugen Baumann are Schotten-Baumann reaction. 	The scientist Eugen Baumann was known for nuclear research.	2
1546	T229	GW2	Eugen Baumann was Born on ( 1846-12-12 ) 12 December 1846  Cannstatt, Baden-Wurttemberg, Germany. 	Eugen Baumann speaks German.	0
1547	T229	GW2	Eugen Baumann was Born on ( 1846-12-12 ) 12 December 1846  Cannstatt, Baden-Wurttemberg, Germany. 	Eugen Baumann graduated with honors.	1
1548	T229	GW2	The Alma mater of Eugen Baumann are University of Tubingen. 	Eugen Baumann went to a university in the U.S.	2
1549	T229	GW1	Eugen Baumann was Born on ( 1846-12-12 ) 12 December 1846  Cannstatt, Baden-Wurttemberg, Germany. 	Eugen Baumann was born in the Winter of 1846.	0
1550	T229	GW1	The Known for of Eugen Baumann are Schotten-Baumann reaction. 	Eugen Baumann lived in Germany for his whole life.	1
1551	T229	GW1	The Known for of Eugen Baumann are Schotten-Baumann reaction. 	Eugen Baumann died in the Spring of 1896.	2
1552	T230	GW2	The City of Evansville, Indiana are 47.84 sq mi (123.90 km 2 ). 	Evansville, Indiana is less than 50 square miles in size.	0
1553	T230	GW2	The Water of Evansville, Indiana are 0.49 sq mi (1.27 km 2 ). 	Evansville, Indiana has 3 rivers running through it.	1
1554	T230	GW2	The Water of Evansville, Indiana are 0.49 sq mi (1.27 km 2 ). 	Evansville, Indiana has more water than dry land.	2
1555	T230	GW1	The Elevation of Evansville, Indiana are 387 ft (118 m). 	Evansville, Indiana's highest elevation is over 350 feet high.	0
1556	T230	GW1	The Metro of Evansville, Indiana are 2,367 sq mi (6,130 km2). 	The city of Evansville, Indiana is shrinking size wise.	1
1557	T230	GW1	The Water of Evansville, Indiana are 0.49 sq mi (1.27 km 2 ). 	Evansville, Indiana has more than a square mile of water in it.	2
1558	T230	GW0	The Elevation of Evansville, Indiana are 387 ft (118 m). 	Evansville, Indiana is under 400 feet above sea level.	0
1559	T230	GW0	The Metro of Evansville, Indiana are 2,367 sq mi (6,130 km2). 	Evansville, Indiana has lakes.	1
1560	T230	GW0	The Land of Evansville, Indiana are 47.35 sq mi (122.63 km 2 ). 	Evansville, Indiana has more land area than city.	2
1561	T231	GW2	The Introduced of Bulleit Bourbon are 1999. 	Bulleit Bourbon is produced in North America.	0
1562	T231	GW2	The Alcohol by volume of Bulleit Bourbon are 45%. 	Bulleit Bourbon is aged for 2 years.	1
1563	T231	GW2	The Proof (US) of Bulleit Bourbon are 90. 	Bulleit Bourbon is less than 75 proof.	2
1564	T231	GW1	The Manufacturer of Bulleit Bourbon are Diageo. 	Bulleit Bourbon first appeared on the market at the end of the 20th century.	0
1565	T231	GW1	The Manufacturer of Bulleit Bourbon are Diageo. 	Bulleit Bourbon is exported to many other countries.	1
1566	T231	GW1	The Alcohol by volume of Bulleit Bourbon are 45%. 	Bulleit Bourbon is over 50 percent alcohol by volume.	2
1567	T231	GW4	The Introduced of Bulleit Bourbon are 1999. 	Bulleit Bourbon has been made since the late 1990s.	0
1568	T231	GW4	The Alcohol by volume of Bulleit Bourbon are 45%. 	Bulleit Bourbon has a relatively high alcohol content.	1
1569	T231	GW4	The Proof (US) of Bulleit Bourbon are 90. 	Bulleit Bourbon is known for having a proof of 120.	2
1570	T232	GW1	The Years active of James Gang are 1966 - 1977, 1991, 1996, 1998, 2001, 2005 - 2006 , and 2012. 	James Gang was a successful musician.	0
1571	T232	GW1	The Genres of James Gang are Hard rock , funk rock , and folk rock. 	James Gang liked performing folk rock more than he did funk rock.	1
1572	T232	GW1	The Years active of James Gang are 1966 - 1977, 1991, 1996, 1998, 2001, 2005 - 2006 , and 2012. 	All told, James Gang was active in music for more than 20 years.	2
1573	T232	GW2	The Associated acts of James Gang are The Who, Eagles. 	The James Gang was from the midwest.	0
1574	T232	GW2	The Associated acts of James Gang are The Who, Eagles. 	The James Gang first recorded on the Atco label.	1
1575	T232	GW2	The Years active of James Gang are 1966 - 1977, 1991, 1996, 1998, 2001, 2005 - 2006 , and 2012. 	The James Gang was active in 2003.	2
1576	T232	GW4	The Origin of James Gang are Cleveland, Ohio, United States. 	James Gang was a band that formed out of the midwestern United States.	0
1577	T232	GW4	The Associated acts of James Gang are The Who, Eagles. 	The band James Gang toured with The Who in the past.	1
1578	T232	GW4	The Associated acts of James Gang are The Who, Eagles. 	The band James Gang is still performing together.	2
1579	T233	GW2	The Occupation of Jim Parsons are Actor. 	Jim Parsons has a Master's degree.	0
1580	T233	GW2	The Years active of Jim Parsons are 1993 - present. 	Jim Parson's has acted in over 20 films.	1
1581	T233	GW2	Jim Parsons was Born on James Joseph Parsons    ( 1973-03-24 )  March 24, 1973  (age 45)   Houston, Texas, U.S.. 	Jim Parsons has a wife.	2
1582	T233	GW4	Jim Parsons was Born on James Joseph Parsons    ( 1973-03-24 )  March 24, 1973  (age 45)   Houston, Texas, U.S.. 	Jim Parsons was originally from a large town in Texas.	0
1583	T233	GW4	The Years active of Jim Parsons are 1993 - present. 	The actor Jim Parsons has been working since the early 90s.	1
1584	T233	GW4	The Occupation of Jim Parsons are Actor. 	The actor Jim Parsons went to college in New York.	2
1585	T233	GW1	The Spouse(s) of Jim Parsons are Todd Spiewak ( m.  2017). 	Jim Parsons is gay.	0
1586	T233	GW1	The Years active of Jim Parsons are 1993 - present. 	Jim Parsons was closeted in the early part of his career.	1
1587	T233	GW1	The Years active of Jim Parsons are 1993 - present. 	Jim Parsons has acted for more than 30 years.	2
1588	T234	GW14	The Known for of Joseph Engelberger are Robotics. 	Joseph won at least one award.	0
1589	T234	GW14	The Alma mater of Joseph Engelberger are Columbia University  (B.S., 1946; M.S., 1949). 	Columbia University has more than one campus.	1
1590	T234	GW14	Joseph Engelberger was Died on December 1, 2015 (2015-12-01)  (aged 90)  Newtown, Connecticut, US. 	Joseph Engelberger died in the same state in which he was born.	2
1591	T234	GW1	The Known for of Joseph Engelberger are Robotics. 	Joseph Engelberger got more than one degree from Columbia.	0
1592	T234	GW1	The Known for of Joseph Engelberger are Robotics. 	Joseph Engelberger preferred being known as an entrepreneur versus an engineer.	1
1593	T234	GW1	Joseph Engelberger was Died on December 1, 2015 (2015-12-01)  (aged 90)  Newtown, Connecticut, US. 	Joseph Engelberger died in the Summer of 2015.	2
1594	T234	GW3	The Known for of Joseph Engelberger are Robotics. 	Joseph Engelberger was an American scientist whose contributions to the field of robotics were acclaimed internationally	0
1595	T234	GW3	The Alma mater of Joseph Engelberger are Columbia University  (B.S., 1946; M.S., 1949). 	Joseph Engelberger taught at the Columbia University	1
1596	T234	GW3	Joseph Engelberger was Died on December 1, 2015 (2015-12-01)  (aged 90)  Newtown, Connecticut, US. 	Joseph Engelberger was a physicist and a Nobel Laureate	2
1597	T1987	GW1	The Length of Holy Wood (In the Shadow of the Valley of Death) are 68 : 07. 	Holy Wood (In the Shadow of the Valley of Death) runs over an hour long.	0
1598	T1987	GW1	The Studio of Holy Wood (In the Shadow of the Valley of Death) are The Mansion,  Laurel Canyon, Holly Studios,  Hollywood Hills, Sunset Sound Factory,  Los Angeles, and Westlake Recording Studios,  West Hollywood. 	For Holy Wood (In the Shadow of the Valley of Death), the band recorded more at Westlake Recording Studios than Sunset Sound Factory.	1
1599	T1987	GW1	The Released of Holy Wood (In the Shadow of the Valley of Death) are November 11, 2000. 	Holy Wood (In the Shadow of the Valley of Death) was released in the late 2000s.	2
1600	T1987	GW0	The Recorded of Holy Wood (In the Shadow of the Valley of Death) are 1999 - 2000. 	Holy Wood was recorded in California.	0
1601	T1987	GW0	The Producer of Holy Wood (In the Shadow of the Valley of Death) are Marilyn Manson, and Dave Sardy. 	Holy Wood is Marilyn Manson's sixth studio album.	1
1602	T1987	GW0	The Recorded of Holy Wood (In the Shadow of the Valley of Death) are 1999 - 2000. 	Holy Wood took over two years to be recorded.	2
1603	T1987	GW3	The Recorded of Holy Wood (In the Shadow of the Valley of Death) are 1999 - 2000. 	Holy Wood (In the Shadow of the Valley of Death) was recorded on 1999Ð2000	0
1604	T1987	GW3	The Released of Holy Wood (In the Shadow of the Valley of Death) are November 11, 2000. 	Holy Wood (In the Shadow of the Valley of Death) was released in the US	1
1605	T1987	GW3	The Length of Holy Wood (In the Shadow of the Valley of Death) are 68 : 07. 	Holy Wood (In the Shadow of the Valley of Death) is 34 minutes long	2
1606	T583	GW4	The Date of City2Surf are 2nd Sunday in August. 	City2Surf happens every year in the summer.	0
1607	T583	GW4	The Date of City2Surf are 2nd Sunday in August. 	City2Surf has been going on for over 40 years.	1
1608	T583	GW4	The Date of City2Surf are 2nd Sunday in August. 	The City2Surf race is over ten miles in length.	2
1609	T583	GW1	The Event type of City2Surf are Road race and fun run. 	The City2Surf race is just under 14 kilometers.	0
1610	T583	GW1	The Event type of City2Surf are Road race and fun run. 	More men run the City2Surf race than women.	1
1611	T583	GW1	The Date of City2Surf are 2nd Sunday in August. 	The City2Surf race first took place in the Spring of 1971.	2
1612	T583	GW2	The Established of City2Surf are 5 September 1971. 	City2Surf was established while Nixon was president of the U.S.	0
1613	T583	GW2	The Participants of City2Surf are ca.  80,000. 	City2Surf had the most participants in the year 2000.	1
1614	T583	GW2	The Distance of City2Surf are 13.907 kilometres (8.641 mi). 	City2Surf is a summer event.	2
1615	T237	GW1	The Years active of Chyler Leigh are 1996 - present. 	Chyler Leigh has been active for over 20 years.	0
1616	T237	GW1	The Instruments of Chyler Leigh are Vocals. 	Chyler Leigh prefers to act over singing.	1
1617	T237	GW1	Chyler Leigh was Born on Chyler Leigh Potts    ( 1982-04-10 )  April 10, 1982  (age 36)   Charlotte, North Carolina, U.S.. 	Chyler Leigh was born in the Fall of 1982.	2
1618	T237	GW3	The Associated acts of Chyler Leigh are Nathan West , and  East of Eli. 	Chyler Leigh and Nathan West made music together under the name of WestLeigh	0
1619	T237	GW3	The Spouse(s) of Chyler Leigh are Nathan West ( m.  2002). 	Chyler Leigh and Nathan West own a production company.	1
1620	T237	GW3	Chyler Leigh was Born on Chyler Leigh Potts    ( 1982-04-10 )  April 10, 1982  (age 36)   Charlotte, North Carolina, U.S.. 	Chyler Leigh is a famous guitarist.	2
1621	T237	GW2	The Years active of Chyler Leigh are 1996 - present. 	Chyler Leigh has more than one child.	0
1622	T237	GW2	Chyler Leigh was Born on Chyler Leigh Potts    ( 1982-04-10 )  April 10, 1982  (age 36)   Charlotte, North Carolina, U.S.. 	Chyler Leigh has 3 daughters.	1
1623	T237	GW2	The Awards of Chyler Leigh are Young Hollywood Awards. 	Chyler Leigh began her career at the age of six.	2
1624	T239	GW3	The Breeder of Chicado V are Frank Vessels. 	Chicado V was a Quarter Horse racing dog trained in the US by Frank Vessels	0
1625	T239	GW3	The Breeder of Chicado V are Frank Vessels. 	Chicado V's parents were Frank Vessels's pets.	1
1626	T239	GW3	The Breed of Chicado V are Quarter Horse. 	Quarter Horse is a relatively slow running breed of dogs.	2
1627	T239	GW1	The Foaled of Chicado V are 1950. 	Chicado V was foaled in the mid 20th century.	0
1628	T239	GW1	The Foaled of Chicado V are 1950. 	Chicado V won a lot of races.	1
1629	T239	GW1	The Color of Chicado V are Brown. 	Chicado V is light in color.	2
1630	T239	GW9	The Color of Chicado V are Brown. 	Chicado V is not a white horse.	0
1631	T239	GW9	The Sex of Chicado V are Mare. 	Chicado V's parents were both famous racehorses.	1
1632	T239	GW9	The Foaled of Chicado V are 1950. 	Chicado V is male.	2
1633	T240	GW1	The Running time of Jeepers Creepers are 91 minutes. 	Jeepers Creepers has a run time that is about an hour and a half.	0
1634	T240	GW1	The Produced by of Jeepers Creepers are Tom Luse , and  Barry Opper. 	Barry Opper spent more money producing Jeepers Creepers than Tom Luse.	1
1635	T240	GW1	The Budget of Jeepers Creepers are $10 million. 	Jeepers Creepers made about 60 million over it's budget at the box office.	2
1636	T240	GW2	The Running time of Jeepers Creepers are 91 minutes. 	Jeepers Creepers was released in the summertime.	0
1637	T240	GW2	Jeepers Creepers was Release date on August 31, 2001  (2001-08-31). 	Jeepers Creepers was released simultaneously in the U.S. and Germany.	1
1638	T240	GW2	The Distributed by of Jeepers Creepers are United Artists. 	Jeepers Creepers was distributed by a German company.	2
1639	T240	GW4	Jeepers Creepers was Release date on August 31, 2001  (2001-08-31). 	Jeepers Creepers was released in the summer of 2001.	0
1640	T240	GW4	The Directed by of Jeepers Creepers are Victor Salva. 	The film Jeepers Creepers was mostly made by Victor Salva.	1
1641	T240	GW4	The Running time of Jeepers Creepers are 91 minutes. 	The film Jeepers Creepers is over two hours in length.	2
1642	T241	GW0	The Spouse(s) of Sir Charles Algernon Parsons are Katharine Bethell  (m. 1883) (d. 1933). 	Sir Charles Algernon Parsons had two children.	0
1643	T241	GW0	The Spouse(s) of Sir Charles Algernon Parsons are Katharine Bethell  (m. 1883) (d. 1933). 	Sir Charles Algernon Parsons was the first recipient of the Rumford Medal.	1
1644	T241	GW0	Sir Charles Algernon Parsons was Died on 11 February 1931   ( 1931-02-12 )  (aged 76)  Kingston Harbour, Jamaica,. 	Sir Charles Algernon Parsons died in the same country he was born.	2
1645	T241	GW1	The Known for of Sir Charles Algernon Parsons are Steam turbine. 	Sir Charles Algernon Parsons was born in the Summer of 1854.	0
1646	T241	GW1	The Known for of Sir Charles Algernon Parsons are Steam turbine. 	Sir Charles Algernon Parsons had help inventing the steam turbine.	1
1647	T241	GW1	The Spouse(s) of Sir Charles Algernon Parsons are Katharine Bethell  (m. 1883) (d. 1933). 	Sir Charles Algernon Parsons died in the Fall of 1931.	2
1648	T241	GW6	Sir Charles Algernon Parsons was Died on 11 February 1931   ( 1931-02-12 )  (aged 76)  Kingston Harbour, Jamaica,. 	Sir Charles Algernon Parsons was outlived by his wife.	0
1649	T241	GW6	The Nationality of Sir Charles Algernon Parsons are Irish. 	Sir Charles Algernon Parsons only ever won six awards.	1
1650	T241	GW6	The Spouse(s) of Sir Charles Algernon Parsons are Katharine Bethell  (m. 1883) (d. 1933). 	Sir Charles Algernon Parsons's son outlived him.	2
1651	T514	GW1	The Years active of Chvrches are 2011 - present. 	Chvrches has been a band for under 10 years.	0
1652	T514	GW1	The Also known as of Chvrches are Churches (2011-2012). 	Chvrches changed their name from Churches due to a copyright infringement issue.	1
1653	T514	GW1	The Genres of Chvrches are Synth-pop, indietronica, and indie pop. 	Chvrches has made music on more than 5 record labels.	2
1654	T514	GW4	The Also known as of Chvrches are Churches (2011-2012). 	Chvrches is a band that started in the United Kingdom.	0
1655	T514	GW4	The Years active of Chvrches are 2011 - present. 	The band Chvrches has been on four different labels.	1
1656	T514	GW4	The Also known as of Chvrches are Churches (2011-2012). 	The band Chvrches is known for playing heavy metal music.	2
1657	T514	GW0	The Website of Chvrches are chvrch.es. 	Chvrches were founded in Scotland's capital.	0
1658	T514	GW0	The Years active of Chvrches are 2011 - present. 	Chvrches were most active in 2012.	1
1659	T514	GW0	The Years active of Chvrches are 2011 - present. 	Chvrches has only been signed to two record labels.	2
1660	T243	GW4	Joaquín Guzmán was Born on Joaquín Archivaldo Guzmán Loera ,  (1954-12-25) 25 December 1954 (age 64) , or ,  (1957-04-04) 4 April 1957 (age 61) , La Tuna, Badiraguato Municipality, Sinaloa, Mexico. 	Joaqu’n Guzm‡n was caught three times and wound up escaping twice from police custody.	0
1661	T243	GW4	The Wanted by of Joaquín Guzmán are Attorney General of Mexico and the US Drug Enforcement Administration. 	Joaqu’n Guzm‡n had been followed by the drug enforcement agency since the 90s.	1
1662	T243	GW4	The Wanted by of Joaquín Guzmán are Attorney General of Mexico and the US Drug Enforcement Administration. 	Joaqu’n Guzm‡n was only ever wanted by the US government.	2
1663	T243	GW0	The Other names of Joaquín Guzmán are El Chapo (The Shorty), The Last Godfather, and El Rápido. 	El Chapo escaped prison twice in two separate decades.	0
1664	T243	GW0	The Other names of Joaquín Guzmán are El Chapo (The Shorty), The Last Godfather, and El Rápido. 	Emma Coronel Aispuro had no knowledge of El Chapo's criminal background prior to marriage.	1
1665	T243	GW0	The Reward amount of Joaquín Guzmán are Mexico: US$3.8 million , United States: US$5 million. 	Mexico offered more reward money than the United States for the capture of El Chapo.	2
1666	T243	GW27	The Successor of Joaquín Guzmán are Ismael Zambada García. 	Joaqu’n Archivaldo Guzm‡n Loera is known as 'El Chapo'.	0
1667	T243	GW27	The Wanted since of Joaquín Guzmán are 2001 (Prior to 2014 incarceration). 	Joaqu’n Archivaldo Guzm‡n Loera has been widowed twice.	1
1668	T243	GW27	The Escaped of Joaquín Guzmán are 1st escape: 19 January 2001 , 2nd escape: 11 July 2015. 	Joaqu’n Archivaldo Guzm‡n Loera has escaped each time he was captured.	2
1669	T244	GW11	Charles I was Died on 30 January 1649 (1649-01-30)  (aged 48) Whitehall, London. 	Charles I was royalty.	0
1670	T244	GW11	The House of Charles I are Stuart. 	Charles I only ever slept in Palaces.	1
1671	T244	GW11	The Mother of Charles I are Anne of Denmark. 	Charles I married Anne of Denmark.	2
1672	T244	GW21	Charles I was Died on 30 January 1649 (1649-01-30)  (aged 48) Whitehall, London. 	King Charles was executed during the English Civil War.	0
1673	T244	GW21	The Religion of Charles I are Anglican. 	King Charles was the first English monarch to be executed by the people.	1
1674	T244	GW21	The Religion of Charles I are Anglican. 	King Charles I became a saint in the Church many years after his death.	2
1675	T244	GW4	Charles I was Died on 30 January 1649 (1649-01-30)  (aged 48) Whitehall, London. 	Charles I was buried ten days after he passed away.	0
1676	T244	GW4	The Religion of Charles I are Anglican. 	Charles I spent their entire life in the United Kingdom.	1
1677	T244	GW4	Charles I was Died on 30 January 1649 (1649-01-30)  (aged 48) Whitehall, London. 	Charles I was a king that was catholic.	2
1678	T245	GW28	The Parent(s) of Chris Hardwick are Billy Hardwick , and Sharon Hills. 	Chris Hardwick is an American entertainer.	0
1679	T245	GW28	The Medium of Chris Hardwick are Stand-up , podcast , television , and film. 	Chris Hardwick has appeared in many TV roles.	1
1680	T245	GW28	The Years active of Chris Hardwick are 1991 - present. 	Chris Hardwick has been active since he was a teenager.	2
1681	T245	GW27	Chris Hardwick was Born on November 23, 1971 ( 1971-11-23 )   (age 47)  Louisville, Kentucky, U.S.. 	Christopher Ryan Hardwick was born in Kentucky.	0
1682	T245	GW27	The Birth name of Chris Hardwick are Christopher Ryan Hardwick. 	Christopher Ryan Hardwick got into stand-up at the University of California.	1
1683	T245	GW27	The Birth name of Chris Hardwick are Christopher Ryan Hardwick. 	Christopher Ryan Hardwick was married before getting into comedy.	2
1684	T245	GW4	The Genres of Chris Hardwick are Observational comedy , blue comedy , sarcasm , musical comedy , self-deprecation , and satire. 	Chris Hardwick began doing comedy when they were 20.	0
1685	T245	GW4	The Years active of Chris Hardwick are 1991 - present. 	Chris Hardwick has won awards for his podcasts.	1
1686	T245	GW4	The Alma mater of Chris Hardwick are University of California, Los Angeles. 	Chris Hardwick has always lived in Los Angeles.	2
1687	T246	GW14	The Citizenship of Jean Joseph Etienne Lenoir are Belgian, French. 	Jean Joseph ƒtienne Lenoir is a citizenship of two Western European countries.	0
1688	T246	GW14	Jean Joseph Etienne Lenoir was Born on 12 January 1822 ( 1822-01-12 )   Mussy-la-Ville, Luxembourg (now part of Belgium). 	Jean Joseph ƒtienne Lenoir lived longer in France than in Belgium.	1
1689	T246	GW14	Jean Joseph Etienne Lenoir was Born on 12 January 1822 ( 1822-01-12 )   Mussy-la-Ville, Luxembourg (now part of Belgium). 	Jean Joseph ƒtienne Lenoir was alive when the Apple computer was invented.	2
1690	T246	GW4	Jean Joseph Etienne Lenoir was Born on 12 January 1822 ( 1822-01-12 )   Mussy-la-Ville, Luxembourg (now part of Belgium). 	Jean Joseph ƒtienne Lenoir was born in the winter of 1822.	0
1691	T246	GW4	The Known for of Jean Joseph Etienne Lenoir are Lenoir cycle , internal combustion engine , and Electro plating. 	Jean Joseph ƒtienne Lenoir wound up winning awards for their internal combustion engine.	1
1692	T246	GW4	Jean Joseph Etienne Lenoir was Born on 12 January 1822 ( 1822-01-12 )   Mussy-la-Ville, Luxembourg (now part of Belgium). 	Jean Joseph ƒtienne Lenoir was born in Germany.	2
1693	T246	GW27	Jean Joseph Etienne Lenoir was Died on 4 August 1900 (1900-08-04)  (aged 78)  La Varenne-Sainte-Hilaire. 	Jean Joseph ƒtienne Lenoir was born in Mussy-la-Ville and died in La Varenne-Sainte-Hilaire.	0
1694	T246	GW27	The Fields of Jean Joseph Etienne Lenoir are Engineering. 	Jean Joseph ƒtienne Lenoir invented the Lenoir cycle in Belgium.	1
1695	T246	GW27	The Known for of Jean Joseph Etienne Lenoir are Lenoir cycle , internal combustion engine , and Electro plating. 	The engineer known for the Lenoir cycle was a German citizen.	2
1696	T1936	GW27	The Type of Irn-Bru are Carbonated soft drink. 	Irn-Bru is a carbonated soft drink made by A.G. Barr plc.	0
1697	T1936	GW27	The Variants of Irn-Bru are Irn-Bru sugar free, Irn-Bru XTRA, and New-Bru. 	Irn-Bru's three variants were all made in 1901.	1
1698	T1936	GW27	The Variants of Irn-Bru are Irn-Bru sugar free, Irn-Bru XTRA, and New-Bru. 	All of Irn-Bru's variants were discontinued.	2
1699	T1936	GW28	The Type of Irn-Bru are Carbonated soft drink. 	Irn-Bru is a colorful drink from the United Kingdom.	0
1700	T1936	GW28	The Type of Irn-Bru are Carbonated soft drink. 	Irn-Bru is responsible for tooth decay and ulcers.	1
1701	T1936	GW28	The Colour of Irn-Bru are Orange. 	Irn-Bru is an all-natural beverage.	2
1702	T1936	GW4	The Colour of Irn-Bru are Orange. 	Irn-Bru is a drink that came out in the early 20th century.	0
1703	T1936	GW4	The Type of Irn-Bru are Carbonated soft drink. 	The drink Irn-Bru has always been orange in color.	1
1704	T1936	GW4	The Colour of Irn-Bru are Orange. 	The makers of Irn-Bru are still making Irn-Bru XS.	2
1705	T248	GW29	The Children of Corey Feldman are 1. 	Corey Feldman has one child and two ex wives.	0
1706	T248	GW29	Corey Feldman was Born on July 16, 1971 ( 1971-07-16 )  (age 47)   Reseda, California, U.S.. 	He has a single son from one of his first marriages.	1
1707	T248	GW29	The Birth Name of Corey Feldman are Corey Scott Feldman. 	Corey Scott Feldman is a dancer from Mexico.	2
1708	T248	GW25	Corey Feldman was Born on July 16, 1971 ( 1971-07-16 )  (age 47)   Reseda, California, U.S.. 	Corey Feldman's longest marriage was with his wife Susie Sprague.	0
